ID,StartTime,Duration_ns,ConnDuration_ns,DialDuration_ns,DNSDuration_ns,Status,StatusCode,Error
GET /,2024-02-12T12:50:58+01:00,338865000,187818875,146996875,40262209,200 OK,200,
GET /,2024-02-12T12:50:58+01:00,342826542,188442916,147601250,40228166,200 OK,200,
GET /,2024-02-12T12:50:58+01:00,343047959,187695292,146739750,40384542,200 OK,200,
GET /,2024-02-12T12:50:58+01:00,484274459,333713000,292769375,40259625,200 OK,200,
GET /anything,2024-02-12T12:50:58+01:00,296632375,147367458,145465667,1757708,200 OK,200,
GET /anything,2024-02-12T12:50:58+01:00,292864292,146642000,145832292,718333,200 OK,200,
GET /anything,2024-02-12T12:50:58+01:00,293629125,146643958,145827709,703833,200 OK,200,
GET /anything,2024-02-12T12:50:58+01:00,299385209,149145125,146590250,2280750,200 OK,200,
PUT /anything,2024-02-12T12:50:59+01:00,298021375,149354792,147107584,2104166,200 OK,200,
PUT /anything,2024-02-12T12:50:59+01:00,297629958,149104042,147283459,1743791,200 OK,200,
PUT /anything,2024-02-12T12:50:59+01:00,296908417,148088459,146979500,987750,200 OK,200,
PUT /anything,2024-02-12T12:50:59+01:00,299354583,148912791,146513542,2151416,200 OK,200,
GET /,2024-02-12T12:50:59+01:00,301597208,149655750,147461000,2060292,200 OK,200,
GET /,2024-02-12T12:50:59+01:00,301636667,149467083,147264375,2075375,200 OK,200,
GET /,2024-02-12T12:50:59+01:00,301708209,149485792,147280667,2070083,200 OK,200,
GET /,2024-02-12T12:50:59+01:00,297933333,148648208,146821833,1555792,200 OK,200,
GET /anything,2024-02-12T12:50:59+01:00,298809542,148040209,145921708,2016416,200 OK,200,
GET /anything,2024-02-12T12:50:59+01:00,298866000,148141125,145976375,2087916,200 OK,200,
GET /anything,2024-02-12T12:50:59+01:00,298947959,148145166,145837875,2087666,200 OK,200,
GET /anything,2024-02-12T12:50:59+01:00,304929000,153165208,150615125,2315209,200 OK,200,
PUT /anything,2024-02-12T12:51:00+01:00,304754583,152124666,150309708,1659667,200 OK,200,
PUT /anything,2024-02-12T12:51:00+01:00,304789375,152001125,150205875,1645583,200 OK,200,
PUT /anything,2024-02-12T12:51:00+01:00,304845208,151847458,150020625,1500417,200 OK,200,
PUT /anything,2024-02-12T12:51:00+01:00,299909708,151333291,149378792,1749167,200 OK,200,
